"Morphotype","Slide.number.info","Z1","Z2","A1","A2","A3","A4","B1","B2","B3","C1","C2","C3","D1","D2","E1","E2","E3","E4","E5","E6","E7","E8","E9","F1","F2","F3","F4","F5","F6","F7","F8","G2","G3","G4","G5","G6","G7","G8","H1","H2","H3","H4","I1","I2","I3","I4","J1","J2","J3","J4","K1","L1","L2","M1","M2","X","Z1.1","Z2.1","A1.1","A2.1","A3.1","A4.1","B1.1","B2.1","B3.1","C1.1","C2.1","C3.1","D1.1","D2.1","E1.1","E2.1","E3.1","E4.1","E5.1","E6.1","E7.1","E8.1","E9.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","G2.1","G3.1","G4.1","G5.1","G6.1","G7.1","G8.1","H1.1","H2.1","H3.1","H4.1","I1.1","I2.1","I3.1","I4.1","J1.1","J2.1","J3.1","J4.1","K1.1","L1.1","L2.1","M1.1","M2.1","MDS1","MDS2","MDS3"
"Convex 1/2 rough straight root",17,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.3.Middle-heavy","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.4.Full-length","G4.5.Full-length","G5.3.Middle-heavy","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.1.Straight","J4.1.Rough","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,3,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,3,4,5,3,1,1,0,3,4,5,3,1,1,0,1,0,0,0,0,0,0,0,4,2,1,1,1,0,0,2,1,-0.201814981903391,-0.0416562720213359,-0.007734303625858
"Medium 3/4 straight root",18,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,3,4,5,1,1,1,0,3,4,5,1,1,1,0,1,0,0,0,0,0,0,0,5,2,1,0,1,0,0,1,1,-0.164377541582664,-0.000229655772110717,0.0147393969273739
"Full root asymmetrical blades",19,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.3.Asymmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.2.Medium","J3.1.Straight","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,3,3,4,5,1,1,1,0,1,4,5,1,1,1,0,1,0,0,0,0,0,0,0,6,2,1,0,1,0,0,2,1,-0.179303668244233,0.0132910547489935,0.0681520735016019
"Flat right triangle big blade",20,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.5.Right","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.3.Asymmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.2.Medium","J3.1.Straight","J4.3.Extended-tip","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,5,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,3,3,4,5,1,1,1,0,2,4,5,1,1,1,0,1,0,0,0,0,0,0,0,6,2,1,3,1,0,0,1,1,-0.189216881849003,0.0387027983841966,0.0470490690435932
"Medium 1/2 concave root",21,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.3.Lower","F4.4.(3/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.2.Concave","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,2,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,3,4,4,1,1,0,2,3,4,4,1,1,0,1,0,0,0,0,0,0,0,4,2,2,0,1,0,0,1,1,-0.107638700099542,-0.0198452787302248,-0.0910540418143941
"Medium triangle 3/4 concave root",22,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.4.Full-length","F4.5.Full-length","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.4.Full-length","G4.5.Full-length","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.2.Medium","J3.2.Concave","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,4,5,4,1,1,0,2,4,5,4,1,1,0,1,0,0,0,0,0,0,0,5,2,2,0,1,0,0,2,1,-0.174751981448465,-0.00857504455746936,-0.0213968853598833
"Straight triangle 3/4 concave root",23,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.4.Full-length","G4.5.Full-length","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.2.Medium","J3.2.Concave","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,3,4,5,4,1,1,0,3,4,5,4,1,1,0,1,0,0,0,0,0,0,0,5,2,2,0,1,0,0,1,1,-0.163605519854221,0.012970093364794,-0.0446374197407402
"Right triangle concave root",24,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.2.Mid-depth","A3.1.Triangle","A4.5.Right","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.3.Asymmetrical","F2.3.Large","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.6.Full-length","J2.2.Medium","J3.2.Concave","J4.3.Extended-tip","K1.2.Flared","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,2,1,5,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,3,3,4,5,1,1,1,0,1,4,5,1,1,1,0,1,0,0,0,0,0,0,0,6,2,2,3,2,0,0,1,1,-0.176202195586795,0.0232365693560325,0.126510550805281
"Large blades 1/2 convex root triangle",25,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.3.Large","F3.3.Lower","F4.4.(3/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.3.Large","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,3,3,4,4,1,1,0,3,3,4,4,1,1,0,1,0,0,0,0,0,0,0,4,2,3,0,1,0,0,2,1,-0.163590259854459,-0.0182486305797602,-0.10915642719308
"Convex 1/2 root",26,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.2.Mid-depth","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.0.No blades or too broken to code","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,2,2,1,3,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,1,4,5,1,1,0,0,1,4,5,1,1,1,0,1,0,0,0,0,0,0,0,4,2,3,0,1,0,0,2,1,-0.132264000661167,-0.0677124671682813,0.0465444712290003
"Asymmetrical-deep 1/2 root",28,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.4.Asymmetrical","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.4.Full-length","F4.5.Full-length","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.4.Full-length","G4.5.Full-length","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,2,4,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,4,5,4,1,1,0,2,4,5,4,1,1,0,1,0,0,0,0,0,0,0,4,2,3,0,1,0,0,2,1,-0.168645814471858,-0.0611864630889447,-0.0386622408162254
"Convex 1/2 root flared blades",29,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.3.Lower","F4.4.(3/4)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.3.Lower","G4.4.(3/4)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.4.(1/2)","J2.2.Medium","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,1,3,4,4,1,1,0,1,3,4,4,1,1,0,1,0,0,0,0,0,0,0,4,2,3,0,1,0,0,1,1,-0.141046795153754,-0.035435991492503,-0.0975379406269142
"Extra flared base triangle",31,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.1.Flat","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.2.Medium","F3.3.Lower","F4.3.(1/2)","F5.4.Bottom-heavy (flared)","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.2.Medium","G3.3.Lower","G4.3.(1/2)","G5.4.Bottom-heavy (flared)","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.3.Wide","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.2.Flared","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,1,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,2,3,3,4,1,1,0,2,3,3,4,1,1,0,1,0,0,0,0,0,0,0,5,3,3,0,2,0,0,1,1,-0.17982664322614,-0.00297596291086096,-0.140564719708512
"Convex 3/4 root",32,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.2.Mid-depth","A3.1.Triangle","A4.3.Convex","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.5.(3/4)","J2.3.Wide","J3.3.Convex","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.2.Rounded/Dome","M2.1.Tip material same as rest of tooth",0,1,1,2,2,1,3,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,1,4,5,1,1,1,0,1,4,5,1,1,1,0,1,0,0,0,0,0,0,0,5,3,3,0,1,0,0,2,1,-0.126049202702276,-0.040516503515377,0.0592294168006314
"1/4 dome root triangle",34,"Z1.1.Tooth","Z2.1.No fragmentation - outline good","A1.2.Medium","A2.2.Mid-depth","A3.1.Triangle","A4.1.Straight","B1.1.Smooth","B2.0.No modifiers or too broken to code","B3.0.No Modifiers or too broken to code","C1.1.Uncurved","C2.0.Uncurved or too broken to code","C3.0.Uncurved or too broken to code","D1.1.One-part","D2.2.Triangle","E1.1.One cusp/Single point","E2.0.One cusp or too broken to code","E3.0.One cusp or too broken to code","E4.0.One cusp or too broken to code","E5.0.One cusp or too broken to code","E6.0.One cusp or too broken to code","E7.0.One cusp or too broken to code","E8.0.One cusp or too broken to code","E9.0.One cusp or too broken to code","F1.2.Symmetrical","F2.1.Small","F3.4.Full-length","F4.5.Full-length","F5.1.Straight","F6.1.Straight edge","F7.1.No blade features","F8.0.No blades/features or too broken to code","G2.1.Small","G3.4.Full-length","G4.5.Full-length","G5.1.Straight","G6.1.Straight edge","G7.1.No blade features","G8.0.No blades/features or too broken to code","H1.1.No barb(s)","H2.0.No barb(s)","H3.0.No barb(s)","H4.0.No barb(s)","I1.0.No barb(s)","I2.0.No barb(s)","I3.0.No barb(s)","I4.0.No barb(s)","J1.2.(1/4)","J2.3.Wide","J3.4.Dome","J4.0.Rootless/no modifiers or too broken to code","K1.1.Flat","L1.0.One-part tooth or too broken to code","L2.0.One-part tooth or too broken to code","M1.1.Pointed","M2.1.Tip material same as rest of tooth",0,1,1,2,2,1,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,1,4,5,1,1,1,0,1,4,5,1,1,1,0,1,0,0,0,0,0,0,0,2,3,4,0,1,0,0,1,1,-0.106076766630305,-0.0731413573344435,0.000438074710965974
